,Fold,Loss,Accuracy,AUC
0,0,0.5949763813797309,0.7755101919174194,0.7916666666666666
1,1,1.4252684140691951,0.5918367505073547,0.5454545454545454
2,2,0.5745823839489295,0.7142857313156128,0.7091666666666667
3,3,2.0552789240467306,0.4897959232330322,0.5192307692307692
4,4,0.8951774312525379,0.6530612111091614,0.678030303030303
5,5,2.3224467695975792,0.5510203838348389,0.5
6,6,1.3597067424229212,0.4693877696990967,0.47833333333333333
7,7,0.6969483239310128,0.6734693646430969,0.6772575250836119
8,8,6.933021545410156,0.4791666567325592,0.5
9,9,0.36416563888390857,0.7916666865348816,0.7878260869565217
10,All folds,None,0.6189200669527054,0.6186965896422418
